Name	400	410	420	430	440	450	460	470	480	490	500	510	520	530	540	550	560	570	580	590	600	610	620	630	640	650	660	670	680	690	700
05E_ob	5.3	5.28	5.2	5.2	5.18	5.17	5.17	5.14	5.14	5.14	5.14	5.14	5.21	5.29	5.65	7.11	10.62	14.53	16.77	17.51	17.64	17.97	17.99	18.02	18.07	18.09	18.14	18.07	18.15	18.18	18.23
05E_ow	5.29	5.29	5.19	5.18	5.19	5.17	5.17	5.14	5.13	5.13	5.15	5.16	5.21	5.29	5.64	7.09	10.53	14.35	16.6	17.37	17.55	17.86	17.91	17.97	18.02	18.07	18.13	18.08	18.2	18.22	18.27
05E_w	52.58	70.22	75.89	78.17	79.76	80.94	82.22	82.92	83.74	84.3	84.9	85.0	85.16	84.97	85.07	84.95	84.65	84.39	84.48	84.58	84.56	85.03	85.54	86.18	87.02	87.53	88.22	88.36	88.66	88.63	88.81
06A_b	5.23	5.21	5.16	5.13	5.1	5.08	5.07	5.04	5.02	5.01	4.99	5.0	4.97	4.95	4.93	4.93	4.95	4.96	4.99	4.99	4.96	4.99	5.0	4.99	4.99	4.98	4.97	4.97	5.0	4.97	5.01
06A_ob	6.84	6.88	6.66	6.63	6.63	6.6	6.58	6.54	6.52	6.54	6.59	6.65	6.79	6.96	7.19	7.5	8.3	9.8	13.31	20.27	30.56	41.48	48.45	52.02	53.94	54.94	55.63	55.95	56.38	56.68	56.95
06A_ow	6.83	6.86	6.66	6.62	6.63	6.59	6.58	6.52	6.51	6.54	6.61	6.64	6.78	6.96	7.18	7.49	8.27	9.79	13.22	20.13	30.45	41.31	48.3	51.88	53.77	54.83	55.45	55.8	56.23	56.53	56.81
06A_w	52.45	70.11	76.05	78.36	80.06	81.25	82.56	83.27	84.16	84.72	85.17	85.42	85.45	85.37	85.38	85.11	84.92	84.76	84.75	84.82	84.8	85.13	85.67	86.25	87.02	87.63	88.12	88.39	88.66	88.63	88.81
06B_b	5.26	5.29	5.18	5.17	5.15	5.11	5.11	5.07	5.05	5.04	5.03	5.02	5.01	4.97	4.97	4.96	4.97	4.98	5.01	5.02	4.99	5.0	5.01	5.0	5.01	5.0	5.0	5.0	5.03	5.01	5.03
06B_ob	36.87	36.16	35.08	34.17	33.3	32.56	31.85	31.18	30.59	30.12	29.76	29.54	29.41	29.45	29.61	29.99	31.18	33.8	39.2	48.31	58.43	65.94	68.8	69.53	69.75	69.66	69.47	68.92	68.84	68.49	68.17
06B_ow	37.28	36.57	35.38	34.5	33.75	32.89	32.23	31.56	30.91	30.5	30.11	29.87	29.82	29.82	30.02	30.4	31.65	34.31	39.91	49.77	62.2	72.61	77.55	79.74	81.09	81.86	82.44	82.59	82.96	83.06	83.26
06B_w	52.55	70.46	76.33	78.58	80.25	81.4	82.65	83.34	84.19	84.77	85.27	85.53	85.48	85.41	85.42	85.14	84.93	84.8	84.72	84.85	84.85	85.18	85.67	86.28	87.08	87.69	88.2	88.47	88.73	88.72	88.89
